Pilgrim_ID,Country,Gender,Age_Group,Accommodation_Type,Transport_Type,Stay_Duration,Estimated_Spending_SAR,Group_Size
1,Malaysia,Female,31-45,Camp (Mina),Bus,10 days,34401,2
2,Turkey,Female,31-45,Hotel (3 Star),Train (Haramain),7 days,11554,5
3,Bangladesh,Male,31-45,Camp (Mina),Bus,14 days,17664,4
4,Egypt,Male,60+,Hotel (5 Star),Bus,10 days,29386,1
5,Malaysia,Male,31-45,Hotel (5 Star),Train (Haramain),10 days,9846,1
6,UK,Male,60+,Hotel (5 Star),Private Car,21 days,31205,2
7,Indonesia,Male,18-30,Hotel (5 Star),Group Transport,21 days,30570,1
8,Malaysia,Male,60+,Hotel (5 Star),Train (Haramain),10 days,35255,3
9,Bangladesh,Female,46-60,Hotel (3 Star),Private Car,7 days,26182,5
10,Egypt,Female,31-45,Apartment,Train (Haramain),7 days,21043,1
11,Turkey,Female,31-45,Hotel (5 Star),Private Car,14 days,5400,1
12,Bangladesh,Male,46-60,Hotel (5 Star),Train (Haramain),10 days,24239,2
13,Bangladesh,Female,60+,Camp (Mina),Private Car,21 days,15416,3
14,Indonesia,Female,18-30,Hotel (3 Star),Train (Haramain),7 days,8412,1
15,Nigeria,Female,46-60,Hotel (3 Star),Private Car,14 days,21440,5
16,Egypt,Female,46-60,Apartment,Train (Haramain),10 days,29406,5
17,India,Female,60+,Hotel (3 Star),Group Transport,7 days,6875,1
18,Bangladesh,Male,31-45,Camp (Mina),Group Transport,10 days,10752,3
19,Nigeria,Male,60+,Camp (Mina),Bus,10 days,26217,5
20,India,Female,46-60,Apartment,Private Car,7 days,17489,5
21,Egypt,Female,46-60,Camp (Mina),Train (Haramain),7 days,6353,3
22,Pakistan,Female,31-45,Hotel (5 Star),Private Car,7 days,31986,3
23,UK,Male,31-45,Hotel (5 Star),Group Transport,10 days,26371,1
24,Nigeria,Male,31-45,Camp (Mina),Private Car,10 days,19691,4
25,UAE,Female,60+,Apartment,Train (Haramain),14 days,9311,2
26,Pakistan,Male,31-45,Hotel (3 Star),Private Car,21 days,15794,4
27,UK,Male,46-60,Apartment,Train (Haramain),10 days,7934,4
28,Indonesia,Female,46-60,Hotel (3 Star),Group Transport,21 days,21406,5
29,Malaysia,Male,18-30,Camp (Mina),Group Transport,7 days,15394,3
30,Turkey,Male,60+,Camp (Mina),Group Transport,10 days,31872,5
31,UAE,Female,18-30,Hotel (5 Star),Bus,14 days,25800,2
32,Indonesia,Male,46-60,Hotel (3 Star),Group Transport,14 days,26352,1
33,Egypt,Male,18-30,Apartment,Private Car,21 days,33312,2
34,Indonesia,Female,46-60,Camp (Mina),Bus,7 days,20438,5
35,Malaysia,Male,18-30,Apartment,Group Transport,21 days,28385,5
36,Egypt,Male,31-45,Hotel (5 Star),Private Car,7 days,23482,5
37,UAE,Female,18-30,Hotel (3 Star),Private Car,14 days,37471,5
38,Malaysia,Female,31-45,Hotel (3 Star),Private Car,21 days,18026,4
39,India,Female,31-45,Camp (Mina),Train (Haramain),14 days,24648,1
40,Turkey,Male,60+,Hotel (3 Star),Bus,14 days,10435,4
41,UAE,Female,31-45,Camp (Mina),Private Car,7 days,13493,5
42,India,Male,31-45,Hotel (5 Star),Train (Haramain),21 days,11691,3
43,UK,Female,18-30,Hotel (3 Star),Group Transport,21 days,7763,4
44,UAE,Male,46-60,Camp (Mina),Private Car,14 days,25389,5
45,UK,Female,60+,Apartment,Train (Haramain),14 days,36498,5
46,Egypt,Female,31-45,Camp (Mina),Private Car,7 days,21934,1
47,India,Female,60+,Hotel (3 Star),Bus,10 days,10574,2
48,Turkey,Female,18-30,Hotel (5 Star),Bus,10 days,6587,4
49,Malaysia,Male,31-45,Hotel (3 Star),Group Transport,14 days,16688,4
50,Bangladesh,Female,18-30,Hotel (3 Star),Private Car,10 days,9409,4
51,Indonesia,Female,60+,Camp (Mina),Train (Haramain),10 days,10783,5
52,Pakistan,Male,18-30,Apartment,Group Transport,10 days,38480,1
53,Turkey,Female,60+,Hotel (3 Star),Private Car,10 days,31751,5
54,India,Male,18-30,Apartment,Group Transport,14 days,17041,5
55,Bangladesh,Female,60+,Camp (Mina),Train (Haramain),10 days,28227,3
56,Turkey,Female,46-60,Apartment,Group Transport,10 days,21654,1
57,India,Female,18-30,Camp (Mina),Group Transport,7 days,31370,4
58,Nigeria,Male,18-30,Hotel (5 Star),Group Transport,14 days,34482,2
59,Nigeria,Female,46-60,Apartment,Private Car,21 days,16586,4
60,UK,Female,46-60,Apartment,Train (Haramain),21 days,10322,5
61,Turkey,Female,18-30,Hotel (5 Star),Bus,7 days,18932,1
62,Nigeria,Male,46-60,Apartment,Private Car,7 days,34299,1
63,India,Male,31-45,Hotel (5 Star),Bus,14 days,30179,1
64,UK,Female,60+,Hotel (3 Star),Bus,21 days,10257,3
65,India,Male,60+,Camp (Mina),Private Car,10 days,14777,4
66,UK,Female,60+,Hotel (5 Star),Private Car,7 days,16249,3
67,Turkey,Female,31-45,Apartment,Train (Haramain),21 days,26390,2
