Employee_ID,Age,Gender,Country,Industry,Work_Mode,Work_Hours_Per_Week,Stress_Level,Sleep_Hours,Productivity_Score,Physical_Activity_Hours,Mental_Health_Support_Access,Burnout_Risk
EMP_0001,50,Male,USA,Manufacturing,Remote,40,9,7.377340986748788,89,6.564715175301648,Yes,High
EMP_0002,36,Male,UK,Finance,Remote,35,1,6.186889084265858,61,0.18457225539944222,Yes,Low
EMP_0003,29,Male,Brazil,Finance,Remote,52,4,7.474882554958057,47,8.318880637567295,No,Low
EMP_0004,42,Female,UK,Manufacturing,Remote,56,10,7.169386497629434,49,1.7469963022378132,No,High
EMP_0005,40,Male,Germany,Tech,On-site,35,2,9.51847882486051,53,5.154974759769905,Yes,Low
EMP_0006,44,Non-binary,Brazil,Finance,Hybrid,31,7,5.337508729818245,54,2.6149290372761937,Yes,Medium
EMP_0007,32,Female,USA,Finance,On-site,51,7,7.035122780685792,77,7.226472020610685,Yes,Medium
EMP_0008,32,Non-binary,Canada,Education,Remote,49,7,7.517614119853316,69,3.2135110018972126,Yes,Medium
EMP_0009,45,Male,USA,Manufacturing,On-site,54,4,6.692316933361245,65,7.246091935883172,Yes,High
EMP_0010,57,Male,USA,Healthcare,Remote,44,8,5.395509870534594,83,2.8487120683547653,No,Low
EMP_0011,45,Male,Brazil,Tech,Hybrid,58,10,8.508523336786233,91,7.5247309093576,Yes,High
EMP_0012,24,Female,Germany,Tech,Hybrid,37,1,7.404321196172862,91,0.30605496336904237,Yes,Low
EMP_0013,43,Non-binary,USA,Manufacturing,Hybrid,62,10,5.479723944488088,70,2.8331133537384847,Yes,High
EMP_0014,23,Female,Singapore,Retail,Remote,51,8,7.526401555069912,43,4.986335064402789,Yes,Medium
EMP_0015,45,Female,Australia,Retail,On-site,34,6,9.041879284063429,100,0.4505958191972548,Yes,High
EMP_0016,51,Male,Japan,Education,Hybrid,47,10,6.956420879900896,84,1.8603406137127865,Yes,High
EMP_0017,59,Female,Japan,Education,Remote,59,8,6.997344796635326,43,9.345369816412033,Yes,Low
EMP_0018,23,Female,USA,Manufacturing,Remote,60,10,8.881606037251982,98,9.768342651801893,Yes,High
EMP_0019,42,Male,Singapore,Education,On-site,39,1,5.835539221898496,44,7.3974994739048565,No,Low
EMP_0020,54,Female,Canada,Tech,Hybrid,44,9,9.073062451144818,59,2.5220005061691286,No,High
EMP_0021,33,Male,France,Tech,Remote,47,10,8.167493284441884,87,2.60517445435969,Yes,High
EMP_0022,43,Male,France,Healthcare,On-site,52,9,5.8909372432239815,92,6.457903577950729,No,High
EMP_0023,46,Male,Brazil,Retail,Hybrid,62,8,6.198077200187062,40,1.1759961659870177,No,High
EMP_0024,48,Male,Japan,Manufacturing,On-site,45,4,6.3702245995812525,50,9.483093804303666,No,Low
EMP_0025,49,Female,USA,Finance,On-site,64,10,4.799722943215492,66,2.2481289951018457,No,High
EMP_0026,37,Male,France,Retail,Remote,63,10,7.312566098885057,81,9.996356254254438,No,High
