_id,YEAR,SECTION,AIRLINE_CODE,AIRLINE_NAME,SERVICES_DEP,SERVICES_ARR,PASSENGER_EMBARKED,PASSENGER_DISEMBARKED,PASSENGER_TERMINAL,PASSENGER_TRANSIT,PASSENGER_TOTAL,CARGO_LOADED,CARGO_UNLOADED,CARGO_TERMINAL,CARGO_TRANSIT,CARGO_TOTAL,MAIL_LOADED,MAIL_UNLOADED,MAIL_TERMINAL,MAIL_TRANSIT,MAIL_TOTAL
1,2006-2007,Domestic,ABQ,AIR BLUE,5974,5974,701786,701786,1403572,0,1403572,7487,7487,14975,0,14975,0,0,0,0,0
2,2006-2007,Domestic,PIA,PAKISTAN INT',27460,27460,1991829,1991829,3983658,113739,4097397,31586,31586,63172,0,63172,500,500,1001,0,1001
3,2006-2007,Domestic,RSO,AERO ASIA,1068,1068,104590,104590,209180,0,209180,2035,2035,4069,0,4069,0,0,0,0,0
4,2006-2007,Domestic,SAI,SHAHEEN AIR,2035,2035,178149,178149,356298,0,356298,1297,1297,2593,0,2593,1121,1121,2242,0,2242
5,2006-2007,International,ABQ,AIR BLUE,1095,1099,146603,105008,251611,0,251611,1853,591,2443,0,2443,0,0,0,0,0
6,2006-2007,International,ABY,AIR ARABIA,98,98,11632,5066,16698,0,16698,68,0,68,0,68,0,0,0,0,0
7,2006-2007,International,AFG,ARIANA AFGHAN,23,23,343,205,548,0,548,0,0,0,0,0,0,0,0,0,0
8,2006-2007,International,RCE,C/O,,,,,,,,,,,,,,,,,
9,2006-2007,International,ALK,SRILANKAN,156,156,13115,13449,26564,0,26564,197,267,465,0,465,0,0,0,0,0
10,2006-2007,International,BAW,BRITISH,156,156,38463,36693,75156,0,75156,1851,870,2722,0,2722,2,221,223,0,223
11,2006-2007,International,BBC,BIMAN,90,90,11038,7685,18723,0,18723,391,334,725,0,725,0,3,3,0,3
12,2006-2007,International,CCA,AIR CHINA,108,108,8052,7345,15397,8833,24230,563,0,563,0,563,0,0,0,0,0
13,2006-2007,International,CLX,CARGOLUX,52,49,0,0,0,0,0,3397,2091,5489,0,5489,0,0,0,0,0
14,2006-2007,International,CPA,CATHAY PACIFIC,314,314,27362,25611,52973,0,52973,2975,2076,5051,0,5051,0,135,135,0,135
15,2006-2007,International,CSN,CHINA,199,199,21214,22162,43376,0,43376,193,428,622,0,622,0,0,0,0,0
16,2006-2007,International,DHX,DHL AVIATION,12,12,0,0,0,0,0,229,0,229,0,229,0,0,0,0,0
17,2006-2007,International,ETD,ETIHAD AIRWAYS,623,623,104274,88592,192866,0,192866,5692,2930,8623,0,8623,2,11,13,0,13
18,2006-2007,International,GFA,GULF AIR,1344,1346,217314,177565,394879,0,394879,12014,1907,13921,0,13921,0,55,55,0,55
19,2006-2007,International,IRA,IRAN AIR,52,52,5858,6242,12100,0,12100,214,43,257,0,257,0,9,9,0,9
